unixTime,bid,ask,tradeSize
1499562371,243.2400092,243.58,5
1499562372,243.2400092,243.58,5
1499562373,243.2400092,243.58,5
1499562375,243.2400092,243.58,5
1499562376,243.2400092,243.58,5
1499562377,243.2400092,243.58,5
1499562378,243.2400092,243.58,5
1499562379,243.2400092,243.58,5
1499562380,243.2400092,243.58,5
1499562381,243.2400092,243.58,5
1499562382,243.2400092,243.58,5
1499562383,243.2400092,243.58,5
1499562384,243.2400092,243.58,5
1499562385,243.2400092,243.58,5
1499562386,243.2400092,243.58,5
1499562387,243.2400092,243.58,5
1499562390,243.2400092,243.58,5
1499562391,243.2400092,243.58,5
1499562392,243.2400092,243.58,5
1499562393,243.2400092,243.58,5
1499562394,243.2400092,243.58,5
1499562395,243.2400092,243.58,5
1499562396,243.2400092,243.58,5
1499562397,243.2400092,243.58,5
1499562398,243.2400092,243.58,5
1499562399,243.2400092,243.58,5
1499562400,243.2400092,243.58,5
1499562401,243.2400092,243.58,5
1499562402,243.2400092,243.58,5
1499562403,243.2400092,243.58,5
1499562404,243.2400092,243.58,5
1499562405,243.2400092,243.58,5
1499562406,243.2400092,243.58,5
1499562407,243.2400092,243.58,5
1499562409,243.2400092,243.58,5
1499562410,243.2400092,243.58,5
1499562411,243.2400092,243.58,5
1499562412,243.2400092,243.58,5
1499562413,243.2400092,243.58,5
1499562414,243.2400092,243.58,5
1499562415,243.2400092,243.58,5
1499562416,243.2400092,243.58,5
1499562417,243.2400092,243.58,5
1499562418,243.2400092,243.58,5
1499562419,243.2400092,243.58,5
1499562420,243.2400092,243.58,5
1499562421,243.2400092,243.58,5
1499562422,243.2400092,243.58,5
1499562423,243.2400092,243.58,5
1499562424,243.2400092,243.58,5
1499562425,243.2400092,243.58,5
1499562426,243.2600086,243.58,5
1499562427,243.2600086,243.58,5
1499562428,243.2600086,243.58,5
1499562429,243.2600086,243.58,5
1499562430,243.2600086,243.58,5
1499562431,243.2600086,243.58,5
1499562432,243.2600086,243.58,5
1499562433,243.2600086,243.58,5
1499562434,243.2600086,243.58,5
1499562435,243.2600086,243.58,5
1499562436,243.2600086,243.58,5
1499562437,243.2600086,243.58,5
1499562438,243.2600086,243.58,5
1499562439,243.2600086,243.58,5
1499562440,243.2600086,243.58,5
1499562441,243.2600086,243.58,5
1499562443,243.2600086,243.58,5
1499562444,243.2600086,243.58,5
1499562445,243.2600086,243.58,5
1499562446,243.2600086,243.58,5
1499562447,243.2600086,243.58,5
1499562448,243.2600086,243.58,5
1499562449,243.2600086,243.58,5
1499562452,243.2600086,243.58,5
1499562453,243.2600086,243.58,5
1499562454,243.2600086,243.58,5
1499562455,243.2600086,243.58,5
1499562456,243.2600086,243.58,5
1499562457,243.2600086,243.58,5
1499562458,243.2600086,243.58,5
1499562459,243.2600086,243.58,5
1499562460,243.2600086,243.58,5
1499562461,243.2600086,243.58,5
1499562462,243.2600086,243.58,5
1499562463,243.2600086,243.58,5
1499562464,243.2600086,243.58,5
1499562465,243.2600086,243.58,5
1499562466,243.2600086,243.58,5
1499562467,243.2600086,243.58,5
1499562468,243.2600086,243.58,5
1499562469,243.2600086,243.58,5
1499562470,243.2600086,243.58,5
1499562471,243.26,243.57,5
1499562472,243.3,243.55,5
1499562473,243.3,243.55,5
1499562474,243.3,243.53,5
1499562475,243.3,243.45,5
1499562476,243.3,243.42,5
1499562477,243.3,243.41,5
1499562478,243.3,243.41,5
1499562479,243.24,243.41,5
1499562480,243.24,243.41,5
1499562481,243.24,243.41,5
1499562482,243.24,243.41,5
1499562483,243.24,243.41,5
1499562484,243.24,243.44,5
1499562485,243.24,243.42,5
1499562486,243.24,243.41,5
1499562487,243.24,243.4,5
1499562488,243.24,243.39,5
1499562489,243.24,243.38,5
1499562490,243.24,243.37,5
1499562491,243.24,243.37,5
1499562492,243.24,243.37,5
1499562493,243.24,243.37,5
1499562494,243.24,243.37,5
1499562495,243.37,243.39,5
1499562496,243.24,243.39,5
1499562497,243.26,243.38,5
1499562498,243.26,243.38,5
1499562499,243.26,243.37,5
1499562500,243.26,243.36,5
1499562501,243.26,243.35,5
